,Neighbour ID,Appliance ID,Market Iteration,Request Iteration,Request ID,Log Location,Queue Position,Request Fairness,Market Start Time,Market End Time,Earliest Start Time,Beginning of Latest Running Period,Request Power,Request Duration,Ever Tried Satisfy Request,Request Acceptance,Accepted Start Time,Accepted End Time,Request Cost,Neighbour Fairness,Neighbour Total Energy Desired,Neighbour Total Energy Delivered,Request Total Energy Desired,Request Total Energy Delivered,Request Type,Processed Time,Neighbour Fairness Series
47,44,58,1,1,44582021-12-17 12:30:00,queue,27,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:30:00,2021-12-17 14:30:00,2.0,0 days 02:00:00,True,True,2021-12-17 13:00:00,2021-12-17 15:00:00,4481.0,0.45,10.0,4.5,4.0,4.0,basic,1717366054.31456,"[0, 0.08, 0.45]"
48,65,129,1,1,651292021-12-17 07:00:00,queue,92,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 07:00:00,2021-12-17 07:30:00,1.25,0 days 00:30:00,True,True,2021-12-17 07:00:00,2021-12-17 07:30:00,318.96,0.84,12.25,10.25,0.625,0.625,basic,1717366054.3176498,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.84]"
49,1,163,1,1,11632021-12-17 10:00:00,queue,10,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:00:00,2021-12-17 10:30:00,1.5,0 days 00:30:00,True,True,2021-12-17 10:30:00,2021-12-17 11:00:00,320.74,0.75,12.0,9.0,0.75,0.75,premium,1717366054.3230531,"[1.0, 1.0, 1.0, 1.0, 0.75]"
50,84,174,1,2,841742021-12-17 15:00:00,queue,125,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 15:30:00,3.5,0 days 00:30:00,True,True,2021-12-17 15:00:00,2021-12-17 15:30:00,893.53,0.29,56.0,16.0,1.75,1.75,basic,1717366054.3276732,"[0, 0.0, 0.0, 0.05, 0.07, 0.13, 0.26, 0.25, 0.29]"
51,4,263,1,1,42632021-12-17 15:00:00,queue,139,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 15:00:00,2021-12-17 15:30:00,2.25,0 days 00:30:00,True,False,,,,0.3,70.5,21.0,1.125,0.0,premium,1717366054.337003,"[0, 0.0, 0.27, 0.25, 0.24, 0.28, 0.29, 0.3]"
52,37,244,1,1,372442021-12-17 13:30:00,queue,121,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:30:00,2021-12-17 14:00:00,1.5,0 days 00:30:00,True,True,2021-12-17 13:30:00,2021-12-17 14:00:00,373.49,0.8,22.5,18.0,0.75,0.75,premium,1717366054.3398871,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
53,34,53,1,1,34532021-12-17 10:00:00,queue,95,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 10:00:00,2021-12-17 10:30:00,3.25,0 days 00:30:00,True,True,2021-12-17 10:30:00,2021-12-17 11:00:00,746.57,0.42,6.0,2.5,1.625,1.625,basic,1717366054.342859,"[0, 0.32, 0.42]"
54,37,243,1,1,372432021-12-17 12:00:00,queue,137,0.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:00:00,2021-12-17 13:30:00,3.0,0 days 01:30:00,True,False,,,,0.8,22.5,18.0,4.5,0.0,premium,1717366054.347973,"[1.0, 1.0, 1.0, 1.0, 0.79, 0.8]"
55,1,164,1,1,11642021-12-17 13:00:00,queue,55,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 13:00:00,2021-12-17 13:30:00,1.0,0 days 00:30:00,True,True,2021-12-17 13:00:00,2021-12-17 13:30:00,237.64,0.75,12.0,9.0,0.5,0.5,premium,1717366054.353031,"[1.0, 1.0, 1.0, 1.0, 0.75]"
56,47,172,1,1,471722021-12-17 12:30:00,queue,37,1.0,2021-12-17,2021-12-17 23:30:00,2021-12-17 12:30:00,2021-12-17 13:30:00,3.0,0 days 00:30:00,True,True,2021-12-17 12:30:00,2021-12-17 13:00:00,692.12,0.65,36.0,23.5,1.5,1.5,basic,1717366054.356691,"[1.0, 0.88, 0.89, 0.89, 0.9, 0.64, 0.65]"
